Land_Area,Trade flow,Commodity,a2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,a2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,a2015,S_2015
Austria,Export,Crustaceans,11,,19,,8,,20,,15,,16,,186,,250,,344,,328,,246,,603,,795,,695,,430,,472,
Austria,Export,Fish,4311,,3062,,5673,,8240,,10740,,4158,,2821,,3964,,4749,,5445,,6674,,8401,,10083,,10029,,8981,,8787,
Austria,Import,Crustaceans,1767,,1988,,1747,,2196,,3393,,4464,,3801,,4160,,4102,,5101,,4963,,4887,,5130,,4814,,5345,,5594,
Austria,Import,Fish,39814,,44228,,44874,,50707,,55150,,54011,,53492,,61022,,58835,,55833,,56676,,62169,,64231,,67072,,65798,,65420,
Belarus,Export,Crustaceans,522,,188,,166,,301,,254,,376,,339,,338,,287,,751,,1176,,1876,,2163,,1813,,1633,,1483,
Belarus,Export,Fish,13475,,10873,,9461,,13818,,17036,,20912,,28132,,33863,,38229,,22120,,24988,,30525,,36246,,49596,,57816,,54642,
Belarus,Import,Crustaceans,1637,,616,,648,,937,,1149,,1472,,1319,,1570,,1719,,2115,,3306,,3687,,3630,,3933,,3549,,2058,
Belarus,Import,Fish,84179,,109113,,122330,,119605,,127768,,131849,,132597,,138024,,147239,,136158,,130910,,115490,,130596,,153123,,165338,,156394,
Belgium,Export,Crustaceans,25085,,26579,,31115,,41583,,45665,,50430,,60880,,62740,,65817,,56486,,56768,,61614,,50231,,48743,,47086,,43418,
Belgium,Export,Fish,61262,,75119,,73841,,84568,,86087,,83886,,90379,,82996,,87734,,78778,,80807,,73537,,72052,,74608,,81322,,87561,
Belgium,Import,Crustaceans,39965,,39868,,46761,,61680,,64652,,69668,,80857,,83687,,87091,,72444,,75543,,83064,,67983,,61641,,64644,,57351,
Belgium,Import,Fish,139166,,148293,,146200,,163373,,166367,,165149,,172489,,167494,,178871,,165483,,168544,,165379,,163273,,166697,,181640,,179707,
Denmark,Export,Crustaceans,108531,,101313,,116350,,126947,,164205,,173056,,178423,,148301,,136458,,127694,,126480,,106894,,103671,,108059,,103413,,89902,
Denmark,Export,Fish,637646,,650058,,649867,,662694,,661030,,572849,,550500,,549724,,585764,,596224,,593963,,553339,,588827,,651031,,676476,,678250,
Denmark,Import,Crustaceans,99965,,99130,,111644,,122891,,143353,,154888,,162764,,137534,,120639,,112614,,107576,,99923,,96233,,97985,,96809,,84819,
Denmark,Import,Fish,578474,,580996,,569124,,586158,,572902,,546761,,537693,,531771,,533654,,554290,,526485,,508371,,490286,,552690,,546460,,572690,
Estonia,Export,Crustaceans,9812,,1571,,1735,,2834,,2382,,3489,,7258,,9302,,9291,,7993,,15527,,12894,,10299,,6987,,5037,,4421,
Estonia,Export,Fish,86655,,153377,,137614,,121656,,93981,,123390,,110943,,104266,,113022,,111809,,114965,,105848,,110503,,103665,,98934,,93380,
Estonia,Import,Crustaceans,641,,662,,945,,1889,,1926,,2710,,4395,,7256,,4891,,3739,,5057,,4314,,2420,,2586,,2848,,1773,
Estonia,Import,Fish,50429,,60684,,55435,,52442,,34958,,34674,,31046,,38225,,47966,,36051,,33119,,37642,,57412,,55453,,51605,,42974,
Far Islands,Export,Crustaceans,9216,,14515,,10808,,9871,,5954,,4690,,5188,,6842,,9230,,8597,,6914,,6178,,5479,,2997,,4772,,4236,
Far Islands,Export,Fish,149818,,195159,,210749,,192765,,162454,,172224,,167338,,207937,,195085,,236238,,259319,,280249,,286859,,311955,,312230,,319717,
Far Islands,Import,Crustaceans,94,,255,,267,F,32,F,1538,,27,,67,,71,,45,,41,,49,F,51,F,45,F,42,F,40,F,270,F
Far Islands,Import,Fish,6767,,3456,,5775,F,1765,F,3075,,4215,,2241,,1453,,1955,,826,,1292,F,1416,F,6943,F,8255,F,10862,F,20161,F
Finland,Export,Crustaceans,27,,14,,29,,32,,37,,8,,15,,7,,4,,22,,37,,204,,7,,18,,13,,6,
Finland,Export,Fish,15851,,15770,,13528,,10359,,18789,,24636,,26130,,37998,,41647,,41916,,42963,,47415,,53123,,52890,,55877,,46283,
Finland,Import,Crustaceans,2593,,2973,,2639,,2859,,2922,,2835,,3139,,3500,,3319,,3500,,4101,,4109,,4135,,3823,,3462,,3036,
Finland,Import,Fish,33228,,38630,,40150,,46105,,52755,,47015,,52393,,61249,,61329,,61723,,64678,,72229,,73242,,72276,,73909,,69958,
France,Export,Crustaceans,16833,,16919,,14588,,19782,,21655,,23378,,22632,,23953,,19823,,18855,,20720,,16822,,17211,,18190,,18299,,18653,
France,Export,Fish,332238,,303427,,275985,,340487,,374640,,288301,,282566,,261631,,293192,,225498,,207341,,199544,,232969,,216691,,188570,,206038,
France,Import,Crustaceans,104052,,111858,,119147,,131915,,140925,,139788,,140350,,142710,,139884,,144655,,152046,,143950,,143489,,138733,,138051,,138074,
France,Import,Fish,631373,,679123,,679278,,688189,,728864,,736996,,745955,,730988,,731542,,747165,,757451,,766235,,751651,,763382,,755692,,758046,
Germany,Export,Crustaceans,19660,,12789,,16674,,20105,,22374,,19683,,23948,,25958,,21102,,20629,,25437,,29652,,29234,,29189,,27642,,27409,
Germany,Export,Fish,387165,,426217,,433098,,410514,,459957,,460729,,476489,,609588,,623013,,536188,,623057,,579577,,621491,,662234,,690688,,698517,
Germany,Import,Crustaceans,33784,,34332,,29214,,33324,,36874,,43560,,47208,,57479,,55899,,62870,,68501,,67212,,65980,,59731,,63245,,59296,
Germany,Import,Fish,700552,,727511,,716161,,708348,,702242,,742415,,775840,,797007,,816553,,786247,,810232,,860237,,833014,,815619,,866836,,850488,
Greece,Export,Crustaceans,509,,681,,755,,738,,2705,,1842,,3406,,2510,,1620,,2495,,2137,,2434,,1614,,2476,,2671,,3289,
Greece,Export,Fish,57284,,61048,,53442,,65650,,68402,,69073,,84895,,111048,,99575,,106194,,117585,,100752,,110396,,108821,,96368,,97038,
Greece,Import,Crustaceans,3111,,4222,,4340,,4819,,5261,,5115,,6140,,7392,,6807,,7932,,7827,,7067,,6625,,6644,,6907,,6436,
Greece,Import,Fish,68318,,64449,,52842,,58466,,63935,,63924,,68369,,72209,,71203,,66158,,67076,,60588,,57546,,54625,,60744,,56818,
Iceland,Export,Crustaceans,24900,,28260,,31899,,32200,,31292,,23434,,20742,,16372,,29705,,24745,,16339,,13693,,11413,,10165,,10581,,10510,
Iceland,Export,Fish,291409,,310407,,337200,,355163,,429650,,453442,,442061,,411182,,432772,,416948,,464392,,484944,,528384,,562256,,497004,,409810,
Iceland,Import,Crustaceans,34780,,37563,,41813,,43227,,53270,,46101,,38425,,35963,,30839,,24886,,29968,,22492,,14941,,11464,,15318,,24498,
Iceland,Import,Fish,7845,,6160,,10091,,8580,,5282,,15004,,9803,,12452,,17909,,8245,,17137,,16580,,9718,,9281,,34271,,41143,
Ireland,Export,Crustaceans,12350,,13413,,14269,,14394,,13611,,13083,,12653,,16608,,13155,,12488,,13443,,13289,,15421,,13849,,16605,,17070,
Ireland,Export,Fish,162282,,238391,,246271,,199306,,186047,,131333,,97661,,113872,,127225,,136851,,180781,,138304,,244302,,203872,,224499,,212755,
Ireland,Import,Crustaceans,6099,,5937,,3904,,3893,,4851,,5724,,5464,,6979,,5117,,6906,,8614,,7495,,7204,,7010,,7858,,7980,
Ireland,Import,Fish,18247,,28367,,59206,,22607,,20264,,23353,,26533,,32295,,29198,,40589,,64846,,41184,,95916,,63182,,58865,,58690,
Italy,Export,Crustaceans,4352,,4105,,4991,,3530,,3795,,3901,,4491,,3997,,3989,,4035,,4710,,4515,,4106,,4286,,3818,,3724,
Italy,Export,Fish,91943,,84371,,84556,,80885,,87107,,94245,,102842,,97072,,90627,,93995,,91557,,82793,,78489,,85965,,90553,,97567,
Italy,Import,Crustaceans,68923,,78126,,69906,,77411,,81221,,87078,,97941,,100596,,93662,,95874,,101542,,101877,,90206,,89153,,96107,,94551,
Italy,Import,Fish,431315,,458071,,464906,,491978,,505386,,519616,,533903,,542402,,535893,,550377,,561883,,573963,,557518,,563107,,599726,,613830,
Latvia,Export,Crustaceans,9,,3,,5,,67,,228,,207,,440,,477,,357,,85,,223,,395,,596,,532,,603,,631,
Latvia,Export,Fish,91873,,124366,,115932,,105299,,104204,,106247,,112441,,112367,,120255,,100836,,106822,,104181,,113605,,120705,,106981,,95269,
Latvia,Import,Crustaceans,158,,251,,290,,509,,793,,729,,1251,,1546,,1249,,608,,892,,1216,,1709,,2217,,1644,,1696,
Latvia,Import,Fish,30790,,38838,,33977,,29583,,25211,,30135,,35142,,42290,,51743,,43455,,49336,,60007,,60424,,65364,,72063,,62698,
Lithuania,Export,Crustaceans,2,,28,,65,,54,,117,,201,,184,,404,,316,,240,,292,,287,,297,,358,,394,,532,
Lithuania,Export,Fish,28964,,56028,,63410,,78592,,72230,,92400,,86813,,100217,,91044,,102700,,89027,,90743,,91680,,102401,,114455,,111189,
Lithuania,Import,Crustaceans,162,,242,,503,,530,,523,,1361,,766,,1247,,1245,,821,,903,,889,,949,,1090,,1240,,1394,
Lithuania,Import,Fish,59331,,78408,,71115,,74713,,72190,,90363,,79931,,90563,,95461,,98657,,102849,,99427,,108509,,120548,,136571,,129317,
Holanda,Export,Crustaceans,61826,,57488,,62025,,72618,,75798,,81355,,84101,,88591,,80804,,98377,,98874,,100505,,87377,,70086,,80472,,85505,
Holanda,Export,Fish,545276,,587869,,630742,,711154,,844680,,905132,,792928,,762286,,669438,,613811,,687119,,618264,,711251,,704249,,903758,,893194,
Holanda,Import,Crustaceans,43996,,46737,,53606,,81764,,57148,,60056,,60285,,62432,,72630,,87568,,84998,,84119,,79031,,67180,,87075,,82438,
Holanda,Import,Fish,472942,,479252,,487651,,537815,,522265,,632767,,652650,,688323,,591964,,676503,,777613,,685007,,767331,,706527,,779698,,700996,
Noruega,Export,Crustaceans,44687,,36133,,34458,,33504,,32218,,36746,,32614,,19917,,26962,,18510,,18813,,17938,,13299,,23749,,30965,,33804,
Noruega,Export,Fish,1769324,,1689923,,1687569,,1671594,,1590320,,1634014,,1611695,,1866600,,2017941,,2334702,,2441416,,2255818,,2373215,,2300316,,2476603,,2356433,
Noruega,Import,Crustaceans,29387,,20493,,20638,,15869,,28528,,21298,,13979,,22999,,20809,,20349,,21184,,20841,,21394,,21082,,19072,,19520,
Noruega,Import,Fish,379505,,344638,,285949,,177275,,176348,,120819,,134949,,156223,,147773,,196966,,142680,,178394,,183327,,158249,,221227,,201101,
Poland,Export,Crustaceans,14426,,9189,,9552,,7284,,7643,,6031,,7698,,7724,,2634,,7105,,6415,,4607,,2004,,2137,,2148,,1703,
Poland,Export,Fish,135024,,154421,,147062,,147462,,169244,,176356,,181648,,197627,,209205,,238556,,291041,,312616,,273263,,285609,,283801,,301615,
Poland,Import,Crustaceans,4596,,4009,,4158,,5132,,7087,,5978,,6788,,6829,,6218,,6125,,7313,,6613,,7255,,7442,,8113,,8448,
Poland,Import,Fish,266751,,253039,,215338,,228793,,282191,,288182,,325130,,350638,,387836,,393659,,435099,,428735,,438688,,470554,,499711,,498029,
Portugal,Export,Crustaceans,5417,,4351,,3445,,3617,,2656,,4289,,3894,,5080,,7667,,7564,,8046,,9839,,12881,,10436,,11555,,13638,
Portugal,Export,Fish,79075,,78436,,82597,,87183,,102670,,98155,,112276,,118732,,112796,,106476,,127353,,140546,,172622,,194074,,199328,,198746,
Portugal,Import,Crustaceans,14743,,16868,,17966,,18562,,20015,,23168,,24206,,25657,,26912,,31353,,33767,,29913,,32001,,27845,,34277,,33850,
Portugal,Import,Fish,253057,,262929,,269531,,274076,,278665,,285664,,314355,,327432,,296211,,306509,,292306,,300207,,338421,,369927,,365710,,363555,
Romania,Export,Crustaceans,3,,0,-,5,,0,-,3,,2,,3,,19,,16,,19,,9,,35,,31,,2,,10,,19,
Romania,Export,Fish,112,,24,,118,,38,,378,,189,,69,,350,,624,,2824,,2965,,5010,,4308,,4405,,3413,,3872,
Romania,Import,Crustaceans,763,,589,,290,,102,,196,,289,,315,,504,,706,,552,,609,,699,,841,,902,,819,,1108,
Romania,Import,Fish,34811,,43516,,50042,,59446,,66262,,79185,,79590,,73568,,86654,,88132,,83728,,65590,,71327,,71813,,82685,,89187,
Spain,Export,Crustaceans,17012,,21390,,28621,,25602,,25830,,21030,,25539,,35452,,27811,,35683,,36312,,44754,,41963,,42273,,39676,,45948,
Spain,Export,Fish,591265,,683892,,583437,,641545,,646342,,707838,,683553,,688820,,708689,,772201,,775086,,806489,,747947,,698055,,800267,,758771,
Spain,Import,Crustaceans,142341,,156708,,155731,,174634,,176785,,188989,,215943,,218095,,206204,,196401,,207015,,213800,,184810,,179429,,186623,,193619,
Spain,Import,Fish,744496,,860104,,852893,,953337,,873584,,870978,,907342,,947684,,875031,,933319,,960381,,958528,,869937,,869366,,951333,,979813,
Sweden,Export,Crustaceans,4040,,3539,,4281,,4366,,5032,,4608,,3681,,4438,,4235,,3593,,4460,,4040,,3495,,3572,,4055,,2871,
Sweden,Export,Fish,254857,,256377,,255623,,272257,,312599,,350017,,426016,,426368,,458130,,521772,,571566,,566575,,629913,,661474,,695091,,793065,
Sweden,Import,Crustaceans,25754,,27407,,26302,,29839,,32010,,34531,,32892,,35077,,32565,,33877,,36976,,35775,,36012,,38584,,37083,,33554,
Sweden,Import,Fish,166410,,178191,,191502,,237843,,280332,,316524,,351770,,413577,,446178,,474950,,511076,,546657,,627994,,646730,,692965,,764660,
Suiça,Export,Crustaceans,23,,8,,16,,10,,12,,10,,5,,10,,71,,86,,29,,45,,52,,67,,12,,11,
Suiça,Export,Fish,79,,82,,122,,148,,169,,179,,188,,210,,176,,245,,283,,261,,318,,500,,659,,473,
Suiça,Import,Crustaceans,6046,,6430,,5031,,5883,,6469,,6625,,7663,,8639,,8613,,8827,,9428,,10201,,9142,,9415,,9643,,8721,
Suiça,Import,Fish,44903,,46129,,44831,,45030,,45954,,45418,,48577,,48960,,50747,,52996,,53270,,53278,,52745,,57246,,55503,,57290,
Ukraine,Export,Crustaceans,259,,6448,,186,,592,,872,,567,,498,,726,,382,,157,,107,,131,,29,,76,,116,,211,
Ukraine,Export,Fish,83452,,50157,,37794,,31029,,16320,,19723,,20411,,24222,,23521,,59993,,55869,,48623,,55451,,51073,,39349,,8196,
Ukraine,Import,Crustaceans,1610,,318,,643,,1450,,1518,,4082,,9174,,14387,,14519,,7852,,8337,,10182,,9310,,9252,,5328,,1006,
Ukraine,Import,Fish,232907,,317739,,295542,,287564,,296447,,406307,,382972,,442048,,549432,,432584,,345123,,371921,,407367,,443498,,330122,,222846,
UK,Export,Crustaceans,58887,,61469,,65250,,67720,,66835,,65357,,65508,,66424,,56734,,57438,,60769,,52953,,51800,,54479,,51472,,46091,
UK,Export,Fish,550326,,567946,,505910,,543167,,538108,,546144,,490971,,512391,,487417,,565143,,602204,,527257,,590690,,573220,,710251,,637823,
UK,Import,Crustaceans,83566,,87693,,91298,,96255,,95630,,98910,,99024,,97125,,90322,,95218,,94654,,98073,,94166,,99357,,90935,,84698,
UK,Import,Fish,453551,,522982,,513740,,514375,,546892,,587591,,642607,,623825,,641575,,598380,,590119,,594704,,635871,,612203,,584623,,552023,
